 ext, txt, notes, parent_id, type_id, origin_ds, origin_nm, name, id, desc, parent name, parent id, parent type, parent parent name, parent parent id, parent parent type, parent parent parent name, parent parent parent id, parent parent parent type, parent parent parent parent name, parent parent parent parent id, parent parent parent parent type
,"C:\\WINDOWS",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/WinPath","qlik_test1","WinPath",1.2919636E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/ENAME","qlik_test1","ENAME",1.2919637E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
"Dimension","EMPNO",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/EMPNO","qlik_test1","EMPNO",1.2919638E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Straight Table",,,1.2919651E7,1710.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01","qlik_test1","salary",1.2919639E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    JOB",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/6","qlik_test1","LOAD0/6",1.291964E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Straight Table",,,1.2919639E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#","qlik_test1","salary",1.2919641E7,,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CD","qlik_test1","CD",1.2919642E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"LOAD COMM,\n    DEPTNO,\n    EMPNO,\n    ENAME,\n    HIREDATE,\n    JOB,\n    MGR,\n    SAL",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0","qlik_test1","LOAD COMM,",1.2919643E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/EMPNO","qlik_test1","EMPNO",1.2919644E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
"Dimension","MGR",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/MGR","qlik_test1","MGR",1.2919645E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
